Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Cheap Tickets,cheap event tickets,USD,1000,1300,1000,1300,1300,1000,1300,1000,880,1000,1000,1000,1300,0.99,2.33
Cheap Tickets,cheap basketball tickets,USD,590,720,1000,1300,1000,880,880,480,260,50,50,170,210,0.85,1.36
Cheap Tickets,cheap laker tickets,USD,480,720,1000,1300,590,480,390,210,10,10,40,170,210,0.92,1.64
Cheap Tickets,cheap baseball tickets,USD,1000,390,90,90,210,390,1300,2400,1900,1900,1900,1600,1000,0.91,1.92
Cheap Tickets,cheap game tickets,USD,320,480,390,320,170,140,210,320,260,170,210,320,480,0.76,1.15
Cheap Tickets,cheap football tickets,USD,2400,4400,3600,2400,1600,1000,1000,1000,720,590,1600,3600,5400,0.92,3.72
Cheap Tickets,cheap tickets basketball,USD,70,70,170,110,110,90,90,70,10,10,10,20,20,0.84,1.57
Event Tickets,event tickets,USD,6600,6600,6600,6600,6600,6600,6600,6600,6600,5400,5400,6600,8100,0.87,3.73
Event Tickets,discount event tickets,USD,260,320,210,260,260,260,260,320,210,170,260,210,260,0.95,1.97
Event Tickets,event ticket,USD,3600,2900,3600,3600,2900,2400,3600,3600,3600,3600,4400,3600,4400,0.35,2.35
Event Tickets,tickets events,USD,210,260,320,320,170,170,210,170,210,140,170,210,210,0.45,1.16
Event Tickets,buy event tickets,USD,170,210,210,170,170,170,210,170,170,170,140,170,140,0.93,2.5
Event Tickets,tickets for events,USD,320,390,320,320,320,480,390,320,320,260,320,320,390,0.97,3.01
Event Tickets,ticket events,USD,210,170,210,170,210,210,210,210,210,210,170,140,210,0.5,1.97
Event Tickets,event tickets online,USD,260,210,170,210,260,210,320,260,260,210,210,260,260,0.81,5.18
Selling Concert,sell concert tickets,USD,2400,2900,2400,1900,1900,2400,2400,2400,3600,2900,2900,2900,2900,0.8,2.73
Selling Concert,selling concert tickets,USD,720,1000,880,720,590,720,720,720,1000,880,720,720,720,0.83,2.41
Selling Concert,how to sell concert tickets,USD,720,720,720,480,480,590,720,720,1000,880,1000,880,720,0.77,2.83
Selling Concert,sell concert tickets online,USD,720,590,720,720,720,880,720,880,1000,1000,1300,390,260,0.73,4.55
Selling Concert,where to sell concert tickets,USD,320,320,260,260,210,260,260,390,480,390,390,390,320,0.8,3.08
Football Tickets,football tickets for sale,USD,880,1000,1300,1300,480,880,590,480,720,390,720,1600,320,0.89,1.23
Football Tickets,football tickets,USD,12100,18100,14800,14800,12100,9900,12100,12100,8100,5400,8100,18100,22200,0.81,3.48
Football Tickets,buy football tickets,USD,880,1300,1000,1000,1000,880,880,1000,480,320,590,1300,1300,0.81,1.64
Football Tickets,football tickets online,USD,390,480,480,880,880,590,110,170,90,50,90,210,320,0.76,1.51
Football Tickets,football ticket,USD,1000,1600,1000,1000,1000,880,880,880,590,590,880,1300,1600,0.61,1.59
Football Tickets,buying football tickets,USD,70,90,70,50,70,70,70,70,30,40,30,140,110,0.76,2.37
Football Tickets,chelsea football tickets,USD,1900,1900,2400,2900,2400,1900,1900,1900,720,720,1600,2900,3600,0.86,1.17
Football Tickets,arsenal football tickets,USD,1300,1900,1900,1900,1600,1000,1000,880,480,390,880,1600,1600,0.75,1.13
Football Tickets,ticket football,USD,320,390,320,320,320,320,320,320,170,170,210,390,480,0.5,0.6
Football Tickets,college football tickets,USD,1600,2900,1900,880,390,260,260,390,480,590,1600,3600,5400,0.8,2.69
Dodgers Tickets,dodger tickets,USD,33100,40500,1600,3600,4400,6600,22200,60500,49500,49500,40500,49500,49500,0.71,2.53
Dodgers Tickets,dodgers tickets,USD,22200,33100,1600,2900,5400,5400,14800,40500,33100,40500,33100,33100,40500,0.72,2.19
Dodgers Tickets,la dodgers tickets,USD,3600,3600,320,480,880,1000,2900,5400,4400,5400,5400,5400,4400,0.69,1.76
Dodgers Tickets,los angeles dodgers tickets,USD,2400,2400,210,390,720,880,1900,3600,2900,3600,2900,3600,3600,0.73,2.38
Dodgers Tickets,cheap dodger tickets,USD,1600,1300,40,70,110,390,1300,3600,2400,2900,2900,2400,2900,0.96,1.88
Dodgers Tickets,la dodger tickets,USD,590,590,50,110,170,260,590,1000,720,880,720,720,590,0.75,3.16
Giants Tickets,san francisco giants tickets,USD,8100,880,1000,1900,1900,2900,6600,18100,14800,14800,12100,8100,6600,0.76,3.39
Giants Tickets,giants tickets,USD,27100,14800,18100,12100,3600,5400,18100,49500,40500,40500,40500,33100,40500,0.69,4.39
Giants Tickets,new york giants tickets,USD,2900,5400,5400,2900,1000,720,720,1600,1600,1600,2900,5400,8100,0.8,6.5
Giants Tickets,sf giants tickets,USD,18100,880,1900,4400,2900,5400,12100,33100,33100,40500,33100,22200,18100,0.76,3.17
Giants Tickets,ny giants tickets,USD,3600,8100,6600,3600,480,390,480,1600,1600,1600,2900,6600,12100,0.78,7.19
Yankees Tickets,yankee tickets,USD,18100,880,1300,2900,2900,18100,14800,33100,27100,27100,33100,27100,27100,0.82,7.96
Yankees Tickets,yankees tickets,USD,33100,2900,2900,6600,5400,22200,22200,49500,49500,49500,60500,49500,49500,0.8,8.42
Yankees Tickets,ny yankees tickets,USD,4400,480,480,880,720,2900,2900,6600,6600,6600,8100,8100,6600,0.77,8.5
Yankees Tickets,new york yankees tickets,USD,9900,2400,1900,2900,4400,9900,9900,14800,12100,14800,18100,14800,12100,0.71,5.55
Yankees Tickets,cheap yankee tickets,USD,1000,30,50,110,70,390,480,1600,1300,1900,1900,1900,1900,0.94,4.61
Bowl Tickets,rose bowl tickets,USD,8100,1900,8100,74000,5400,590,880,880,590,480,1900,1000,1300,0.77,3.58
Bowl Tickets,gator bowl tickets,USD,1300,90,720,12100,390,20,20,10,10,10,10,20,70,0.56,0.92
Bowl Tickets,outback bowl tickets,USD,1000,90,590,9900,480,20,20,20,10,20,20,40,90,0.47,0.97
Bowl Tickets,pro bowl tickets,USD,1300,390,720,2400,9900,170,40,480,90,90,110,210,320,0.69,2.96
Bowl Tickets,cotton bowl tickets,USD,1900,880,1300,14800,2900,390,590,320,140,320,720,480,880,0.66,1.44
Bowl Tickets,fiesta bowl tickets,USD,1600,390,1600,14800,1300,50,50,50,40,20,70,110,170,0.58,3.41
Bowl Tickets,hollywood bowl tickets,USD,2900,1900,590,720,880,1900,2400,1900,4400,5400,8100,6600,2900,0.73,2.72
Bowl Tickets,orange bowl tickets,USD,2400,320,1000,22200,3600,110,140,110,70,70,90,140,170,0.53,2.68
Tickets,discount concert tickets,USD,1900,1900,1900,1600,1600,1900,1900,1900,1600,1900,1900,1600,1600,0.92,1.84
Tickets,justin bieber tickets,USD,4400,8100,9900,9900,5400,2900,3600,3600,3600,2900,2400,2900,1600,0.54,0.54
Tickets,eminem tickets,USD,22200,22200,18100,12100,12100,22200,22200,6600,90500,18100,27100,9900,4400,0.25,0.61
Tickets,usher tickets,USD,1600,210,260,210,390,390,720,720,390,390,590,480,14800,0.83,2.51
Tickets,ticket websites,USD,2900,2900,3600,2900,2900,2900,2900,2900,2900,2400,2900,2900,2900,0.87,2.92
Tickets,adele tickets,USD,590,880,1000,880,720,590,590,480,480,480,480,480,590,0.09,1.32
Tickets,ticket stub,USD,12100,14800,14800,12100,9900,9900,12100,12100,12100,9900,9900,12100,12100,0.2,0.31
Tickets,ticket hub,USD,14800,18100,18100,14800,14800,14800,14800,18100,12100,9900,9900,12100,12100,0.38,1.11
Tickets,blink 182 tickets,USD,1300,2400,1600,720,480,480,480,480,590,4400,1900,1900,590,0.18,0.48
Tickets,ticket exchange,USD,27100,40500,40500,40500,33100,14800,18100,22200,18100,12100,18100,27100,33100,0.37,0.88
Tickets,plan b tickets,USD,260,320,590,320,260,390,210,210,320,170,140,170,210,0.11,0.83
Tickets,la kings tickets,USD,8100,8100,8100,9900,9900,4400,6600,6600,14800,14800,1600,2400,5400,0.81,4.33
Tickets,shakira tickets,USD,260,170,170,140,140,210,480,390,320,260,320,260,170,0.19,0.9
Tickets,ticket resale,USD,2400,1600,1900,1600,1900,1900,2400,2400,2400,2400,2400,2400,2900,0.7,1.09
Tickets,the script tickets,USD,1300,720,590,720,480,390,390,320,390,390,590,1300,12100,0.71,1.78
Tickets,green day tickets,USD,590,880,880,720,590,590,590,590,590,480,480,590,480,0.2,1.68
Tickets,jessie j tickets,USD,1600,6600,2900,1900,1300,1000,880,590,720,880,720,590,880,0.22,1.09
Tickets,selena gomez tickets,USD,2400,9900,8100,2400,1600,1300,1900,720,590,590,590,720,390,0.41,0.67
Tickets,vip tickets,USD,6600,8100,8100,8100,6600,6600,6600,8100,6600,6600,6600,6600,6600,0.28,0.44
Tickets,wiz khalifa tickets,USD,2400,880,880,880,880,880,1000,2900,2400,2400,8100,6600,1300,0.54,1.05
Tickets,baseball tickets,USD,2900,1900,880,1000,1300,2400,5400,5400,5400,4400,4400,3600,2400,0.77,1.76
Tickets,tool tickets,USD,2900,210,260,390,12100,14800,5400,390,390,320,390,320,320,0.15,2.01
Tickets,katy perry tickets,USD,33100,8100,27100,12100,49500,27100,74000,22200,33100,33100,22200,22200,18100,0.86,3.43
Tickets,drake tickets,USD,18100,40500,74000,18100,14800,12100,22200,2400,2400,8100,6600,9900,5400,0.68,2.56
Tickets,example tickets,USD,720,390,390,390,480,720,320,210,320,320,590,2900,1300,0.47,0.91
Tickets,enrique iglesias tickets,USD,1300,210,320,390,720,1000,480,480,1600,3600,1900,2400,3600,0.89,3.44
Tickets,trey songz tickets,USD,480,320,320,320,390,390,320,880,590,390,720,720,480,0.35,1.05
Tickets,the wanted tickets,USD,1300,5400,1900,1300,1600,1000,1900,880,390,90,90,70,70,0.33,0.95
Tickets,madness tickets,USD,1000,480,1000,320,170,170,210,170,4400,1600,1000,1000,1600,0.82,1.48
Tickets,script tickets,USD,590,170,170,170,140,110,110,70,110,90,70,480,5400,0.7,1.64
Tickets,ticket resellers,USD,1300,1600,1600,1300,1300,1300,1600,1300,1300,1000,1300,1300,1300,0.76,3.58
Tickets,clippers tickets,USD,9900,6600,12100,12100,9900,12100,12100,18100,14800,1600,2400,4400,2900,0.76,4.34
Tickets,kings tickets,USD,5400,5400,8100,9900,6600,4400,5400,4400,8100,8100,480,880,2400,0.75,3.26
Tickets,kesha tickets,USD,390,480,720,1000,720,390,390,210,170,210,210,170,170,0.15,0.97
Tickets,find tickets,USD,880,880,720,720,880,720,720,880,720,720,880,880,880,0.5,1.7
Tickets,duran duran tickets,USD,90,90,110,90,50,70,70,70,70,90,110,170,210,0.31,1.36
Tickets,jason derulo tickets,USD,3600,5400,3600,4400,4400,4400,5400,4400,2400,1600,1000,1600,1000,0.47,1.1
Tickets,kiss tickets,USD,1900,390,320,320,320,320,6600,2900,1900,2900,5400,3600,480,0.73,1.76
Tickets,gorillaz tickets,USD,70,70,90,70,70,70,50,50,90,70,70,70,70,0.11,0.1
Tickets,mlb tickets,USD,4400,3600,880,1000,1900,2900,5400,8100,6600,6600,6600,5400,4400,0.71,1.89
Tickets,kid cudi tickets,USD,880,1900,390,390,320,1900,1600,880,1000,320,260,390,390,0.4,1.34
Tickets,san diego padres tickets,USD,5400,320,260,480,880,1900,6600,12100,9900,12100,9900,8100,4400,0.67,3.4
