,cluster,dist_to_0,dist_to_1,word,cluster_name
0,0,0.19406788123683955,0.8720422208760847,across,Stay Strong
1,0,0.30915528184436725,0.7736110130542837,act,Stay Strong
2,0,0.19710958187171104,0.8694653928766714,action,Stay Strong
3,0,0.22673374598242926,0.7785459693467868,ago,Stay Strong
4,0,0.18637283332451016,0.9106114118006701,ahead,Stay Strong
5,0,0.2019720990176939,0.884004227468502,allies,Stay Strong
6,0,0.18445694280036076,0.8475975639880771,already,Stay Strong
7,0,0.1866838068999153,0.869932145682947,another,Stay Strong
8,0,0.18717681006466433,0.887830268121446,around,Stay Strong
9,0,0.42013806812690974,0.7246895022538985,ask,Stay Strong
10,0,0.23435009226070802,0.790191680877925,back,Stay Strong
11,0,0.20923278000784318,0.9035663959347053,basic,Stay Strong
12,0,0.20934757720906824,0.8032094763190628,believe,Stay Strong
13,0,0.17984008266930374,0.7841741272903227,best,Stay Strong
14,0,0.306632439777315,0.6909147756575195,better,Stay Strong
15,0,0.23183627358028824,0.8752359625538105,bill,Stay Strong
16,0,0.5005676749664836,0.8144895017390532,billion,Stay Strong
17,0,0.1816878260431988,0.8506558670209073,bring,Stay Strong
18,0,0.45284392381437916,0.6380923825636827,budget,Stay Strong
19,0,0.21931485123607883,0.8225664861638322,build,Stay Strong
20,0,0.22073662193756574,0.81738687096534,business,Stay Strong
21,0,0.2389231513617312,0.8160624335242853,cannot,Stay Strong
22,0,0.47860048155491863,0.7433690233189366,care,Stay Strong
23,0,0.3830694658125056,0.8429006718741501,century,Stay Strong
24,0,0.3922586837065086,0.8959471484533292,challenge,Stay Strong
25,0,0.23087616306625874,0.8082332711912925,change,Stay Strong
26,0,0.4782894383480938,0.6250856721096609,children,Stay Strong
27,0,0.24771008023299632,0.7940399875921005,citizens,Stay Strong
28,0,0.2121409725311318,0.8993915026231951,clear,Stay Strong
29,0,0.22786035997026255,0.7085323916567525,come,Stay Strong
30,0,0.18941563632740374,0.8760459226776257,commitment,Stay Strong
31,0,0.25371469509232764,0.7998916067487779,community,Stay Strong
32,0,0.24318930287147222,0.7495003911729108,continue,Stay Strong
33,0,0.23218682881442165,0.8797786139538233,cost,Stay Strong
34,0,0.25524063704546146,0.8012384671304019,could,Stay Strong
35,0,0.5521874848814065,0.5955700226875859,country,Stay Strong
36,0,0.19614691533678794,0.9130710086056573,course,Stay Strong
37,0,0.19968176018632516,0.8653238900363064,create,Stay Strong
38,0,0.2392787062228362,0.8141481103135747,cut,Stay Strong
39,0,0.16065276511927695,0.8011057527712949,day,Stay Strong
40,0,0.29118312454259,0.8233620239182187,defense,Stay Strong
41,0,0.25391737073166804,0.8297629125356233,deficit,Stay Strong
42,0,0.2271734991945573,0.9079444507356159,development,Stay Strong
43,0,0.2097997428314837,0.9304691998279925,dollars,Stay Strong
44,0,0.19806442559319254,0.8708040790563016,done,Stay Strong
45,0,0.36865364980299237,0.7204370081586274,economic,Stay Strong
46,0,0.42276987910089964,0.636981210536514,economy,Stay Strong
47,0,0.2185155653367933,0.7668215425107077,education,Stay Strong
48,0,0.217682611385714,0.8826100083569578,effort,Stay Strong
49,0,0.20666132335049922,0.8520458416348939,efforts,Stay Strong
50,0,0.18100211079701786,0.8159246545078722,end,Stay Strong
51,0,0.5284077620706011,0.8518648233063811,energy,Stay Strong
52,0,0.22533097922538536,0.8981984228720811,enough,Stay Strong
53,1,0.6799184878907267,0.5086820459393029,every,Help Nation
54,0,0.1886696115789565,0.917265209582465,expand,Stay Strong
55,0,0.18437682194304486,0.891043065314437,face,Stay Strong
56,0,0.28537898677883905,0.7508822458696509,families,Stay Strong
57,0,0.3022598178020878,0.8380310515216916,family,Stay Strong
58,0,0.16006688348982612,0.8621564993663297,far,Stay Strong
59,0,0.5906939301751009,0.710921880819402,federal,Stay Strong
60,0,0.18378136829713024,0.8894011860034359,fellow,Stay Strong
61,0,0.35540359639098235,0.5855959659173545,first,Stay Strong
62,0,0.20283826005627673,0.8765750887401648,force,Stay Strong
63,0,0.2358402739440069,0.8442548784977243,forces,Stay Strong
64,0,0.21986579559157932,0.8776620161225139,forward,Stay Strong
65,0,0.4308000184967554,0.747405124306626,free,Stay Strong
66,0,0.5955985938435516,0.749207106650587,freedom,Stay Strong
67,0,0.199751277395085,0.9278047671453407,friends,Stay Strong
68,0,0.23585448333508424,0.8482746232594937,full,Stay Strong
69,0,0.4301995145189998,0.6476254273090544,future,Stay Strong
70,0,0.4364907585464035,0.7937502355696153,get,Stay Strong
71,0,0.24211996663467558,0.7065905839204406,give,Stay Strong
72,0,0.23428143258940676,0.7822411305062057,go,Stay Strong
73,0,0.24024011918424304,0.8383985164789424,goal,Stay Strong
74,0,0.22106068984766256,0.9044241718341491,god,Stay Strong
75,0,0.2903037559181209,0.6970941523280081,good,Stay Strong
76,1,0.9567879470632811,0.681346878789952,government,Help Nation
77,0,0.4321893688080015,0.6286755428299253,great,Stay Strong
78,0,0.1947088816826433,0.912248856142936,growing,Stay Strong
79,0,0.3156079430144423,0.7689468065442806,growth,Stay Strong
80,0,0.21702917619665957,0.8321726134066599,hard,Stay Strong
81,0,0.4402581871114089,0.714652996275577,health,Stay Strong
82,1,0.623849403011013,0.44600587454821966,help,Help Nation
83,0,0.17176854323672855,0.7775820124935767,high,Stay Strong
84,0,0.20628075800295506,0.8894866346101472,higher,Stay Strong
85,0,0.21074773894604296,0.7634382899450802,history,Stay Strong
86,0,0.21926833527957074,0.7094257810692268,home,Stay Strong
87,0,0.26904683337416946,0.7403571389626106,hope,Stay Strong
