Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Cheap Tickets,cheap basketball tickets,USD,590,720,1000,1300,1000,880,880,480,260,50,50,170,210,0.85,1.36
Cheap Tickets,cheap theater tickets,USD,880,1000,1000,1300,1000,880,880,590,720,720,880,720,720,0.88,1.5
Cheap Tickets,cheap show tickets,USD,390,480,480,590,480,480,480,320,320,320,320,320,480,0.78,1.48
Cheap Tickets,cheap baseball tickets,USD,1000,390,90,90,210,390,1300,2400,1900,1900,1900,1600,1000,0.91,1.92
Cheap Tickets,cheap game tickets,USD,320,480,390,320,170,140,210,320,260,170,210,320,480,0.76,1.15
Cheap Tickets,cheap lady gaga tickets,USD,170,10,40,210,140,320,260,210,320,170,320,70,20,0.86,2.23
Cheap Tickets,buy cheap tickets,USD,590,590,480,480,480,480,590,590,590,480,720,480,590,0.85,1.19
Cheap Tickets,cheap football tickets,USD,2400,4400,3600,2400,1600,1000,1000,1000,720,590,1600,3600,5400,0.92,3.72
Cheap Tickets,cheap movie tickets,USD,4400,2900,4400,4400,4400,2400,2900,4400,4400,5400,6600,5400,3600,0.56,1.16
Cheap Tickets,cheap tickets basketball,USD,70,70,170,110,110,90,90,70,10,10,10,20,20,0.84,1.57
Theatre Tickets,book theatre tickets,USD,170,170,210,170,260,170,110,140,140,110,140,170,170,0.71,1.18
Theatre Tickets,theatre tickets,USD,49500,49500,60500,74000,60500,49500,49500,49500,40500,40500,40500,49500,49500,0.7,1.57
Theatre Tickets,uk theatre tickets,USD,390,590,590,590,590,390,390,210,210,210,210,260,210,0.72,1.25
Theatre Tickets,cheapest theatre tickets,USD,390,390,480,480,590,480,390,320,260,210,260,320,390,0.89,1.34
Theatre Tickets,buy theatre tickets,USD,260,260,260,390,320,260,210,170,170,170,210,210,260,0.76,1.12
Theatre Tickets,tickets theatre,USD,170,210,260,210,210,140,140,140,110,90,90,110,170,0.72,0.74
Theatre Tickets,tickets for theatre,USD,70,90,90,110,90,70,50,70,70,50,50,90,90,0.84,1.27
