Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Dodgers Tickets,los angeles dodgers tickets,USD,2400,2400,210,390,720,880,1900,3600,2900,3600,2900,3600,3600,0.73,2.38
Dodgers Tickets,cheap dodger tickets,USD,1600,1300,40,70,110,390,1300,3600,2400,2900,2900,2400,2900,0.96,1.88
Dodgers Tickets,la dodger tickets,USD,590,590,50,110,170,260,590,1000,720,880,720,720,590,0.75,3.16
Cheap Tickets,cheap basketball tickets,USD,590,720,1000,1300,1000,880,880,480,260,50,50,170,210,0.85,1.36
Cheap Tickets,cheap baseball tickets,USD,1000,390,90,90,210,390,1300,2400,1900,1900,1900,1600,1000,0.91,1.92
Cheap Tickets,cheap game tickets,USD,320,480,390,320,170,140,210,320,260,170,210,320,480,0.76,1.15
Cheap Tickets,cheap football tickets,USD,2400,4400,3600,2400,1600,1000,1000,1000,720,590,1600,3600,5400,0.92,3.72
Cheap Tickets,cheap sporting event tickets,USD,110,170,140,140,110,90,140,140,90,90,140,140,110,0.93,2.09
Cheap Tickets,cheap tickets basketball,USD,70,70,170,110,110,90,90,70,10,10,10,20,20,0.84,1.57
Cheap Tickets,cheap yankee tickets,USD,1000,30,50,110,70,390,480,1600,1300,1900,1900,1900,1900,0.94,4.61
Bowl Tickets,rose bowl tickets,USD,8100,1900,8100,74000,5400,590,880,880,590,480,1900,1000,1300,0.77,3.58
Bowl Tickets,gator bowl tickets,USD,1300,90,720,12100,390,20,20,10,10,10,10,20,70,0.56,0.92
Bowl Tickets,outback bowl tickets,USD,1000,90,590,9900,480,20,20,20,10,20,20,40,90,0.47,0.97
Bowl Tickets,pro bowl tickets,USD,1300,390,720,2400,9900,170,40,480,90,90,110,210,320,0.69,2.96
Bowl Tickets,cotton bowl tickets,USD,1900,880,1300,14800,2900,390,590,320,140,320,720,480,880,0.66,1.44
Bowl Tickets,fiesta bowl tickets,USD,1600,390,1600,14800,1300,50,50,50,40,20,70,110,170,0.58,3.41
Bowl Tickets,orange bowl tickets,USD,2400,320,1000,22200,3600,110,140,110,70,70,90,140,170,0.53,2.68
Tickets,ticket exchange,USD,27100,40500,40500,40500,33100,14800,18100,22200,18100,12100,18100,27100,33100,0.37,0.88
Tickets,la kings tickets,USD,8100,8100,8100,9900,9900,4400,6600,6600,14800,14800,1600,2400,5400,0.81,4.33
Tickets,shakira tickets,USD,260,170,170,140,140,210,480,390,320,260,320,260,170,0.19,0.9
Tickets,ticket resale,USD,2400,1600,1900,1600,1900,1900,2400,2400,2400,2400,2400,2400,2900,0.7,1.09
Tickets,uk tickets,USD,1300,1600,1900,1600,1900,1600,1600,1300,1000,880,880,1000,1000,0.41,1.77
Tickets,vip tickets,USD,6600,8100,8100,8100,6600,6600,6600,8100,6600,6600,6600,6600,6600,0.28,0.44
